Screen,Key (PLEASE DON'T CHANGE),Description,en_GB translation,en_GB translation - NEW VERSION,Comments
Cards,cards.dialogs.card_already_unlocked.button,Unlocking cards and sets flow,View Card,View Card,
,cards.dialogs.card_already_unlocked.message,,You've unlocked this card already!,You’ve already tracked down this card.,
,cards.dialogs.card_not_found.button,,Try Again,Try Again,
,cards.dialogs.card_not_found.message,,We didn't recognise this card!,BEAR couldn’t recognise this card,
,cards.dialogs.card_update_app.message,,"Grrreat, you've found a card that hasn't been added to this version of BEAR's app yet. Please update the app to the latest version and if you see this message again hold on to your card and you will be able to scan it after an upcoming update.",,New Copy
,cards.dialogs.set_not_found.message,,unable to unlock Card. No set found. Please contact us via the Help - Report Issue form.,,New Copy
,cards.dialogs.collection_not_found.message,,Unable to find Card Set: %set_id% in Collection: %collection_id%.,,New copy
,cards.dialogs.card_not_found.title,,GRRRR,,remove
,cards.dialogs.unlocked.card_unlocked,,Card Unlocked,Card Unlocked,
,cards.dialogs.unlocked.collection_unlocked,,Collection Unlocked,Collection Unlocked,
,cards.dialogs.unlocked.set_unlocked,,Set Unlocked,Set Unlocked,
,cards.info.card_capture_instructions,,Find the qr code on the back of your bear card and scan it here!,Hunt down the QR code on the back of your BEAR card and scan it here.,
,cards.info.card_view_instructions,,Tap the card to see the answer!\nPinch to zoom in and out.,Tap to reveal the answer! \nPinch to zoom in and out.,
,cards.capture.errors.qr_not_url,,QR Code is not a URL,,New Copy
,cards.capture.errors.qr_invalid_url,,QR Code does not contain a valid URL,,New Copy
,cards.capture.errors.url_parse_failed,,Unable to parse URL,,New Copy
,cards.capture.errors.unsupported_domain,,This card with domain: %domain% is not supported,,New Copy
,cards.capture.errors.no_card_id,,No card id is associated with this card,,New Copy
,cards.collection.coming_soon_title,,Coming Soon!,,New Copy
,cards.collection.coming_soon_message,,The %collection_title% collection is coming soon.,,
,cards.sets,,SETS,SETS,
Dialogs,dialogs.actions.title,"Generic dialogs shown across the app (e.g. connecting to the internet, choosing an action).",Choose action,Choose action,
,dialogs.connecting.button,,Try Again,Try Again,
,dialogs.connecting.title,,BEAR is searching for an internet connection...,BEAR is tracking down a connection…,
Help/Contact form flow,help.contact.button,"Contact form copy for title, buttons",Contact Us,Contact Us,
,help.contact.hint_name,,Your name...,Your name...,
,help.contact.hint_email,,Your email address...,Your email address...,
,help.contact.hint_subject,,Subject...,Subject...,
,help.contact.hint_message,,Message...,Message...,
,help.contact.content,,use the form to send us feedback,Use this form to send BEAR your feedback.,
,help.contact.next_button,,Next,Next,
,help.contact.previous_button,,Previous,Previous,
,help.contact.submit_button,,Send,Send,
,help.contact.success.title,,Contact request sent,,New Copy
,help.contact.success.message,,your contact request was successfully submitted.,,New Copy
,help.contact.error.unable_to_send,,unable to send message. Please check your internet connection and try again.,,New Copy
,help.contact.title,,CONTACT US,CONTACT US,
Help/How-to-guide flow,help.guide.adventure_begins.content.explore,Your Adventure begins here screen - explore line,Explore,Start your adventure!,
,help.guide.adventure_begins.content.collect,Your Adventure begins here screen in How to guide flow. Summary of things you can do in app,Build your card collection,Start your collection quest,
,help.guide.adventure_begins.content.more,,& more to come in the future,,
,help.guide.adventure_begins.content.scan,,Scan your cards!,Scan your cards!,
,help.guide.adventure_begins.title,,YOUR ADVENTURE BEGINS HERE,YOUR ADVENTURE BEGINS HERE,
,help.guide.button,Button title on the Help screen,How-to Guide,How-to Guide,
,help.guide.camera_access.button,Camera permission screens,Enable Camera,Enable Camera,
,help.guide.camera_access.disabled.content,,BEAR requires access to your camera to scan your new cards!,BEAR needs access to your camera so you can scan your new cards.,
,help.guide.camera_access.enabled.content,,BEAR has access to your camera so you can scan your new cards!,Camera access enabled — you're ready to scan.,
,help.guide.camera_access.permanently_disabled.content,,BEAR requires access to your camera to scan your new cards!,"To scan new cards, please allow BEAR to use your camera.",
,help.guide.camera_access.title,,CAMERA ACCESS,CAMERA ACCESS,
,help.guide.done_button,Last screen of How to Guide,Finish,Finish,
,help.guide.finished.content,,Enjoy exploring adventurer,"Now off you go, adventurer. The wild awaits.",
,help.guide.finished.title,,PAWS CROSSED,Claws crossed.,
,help.guide.hello.content,First screen of How to guide,"before your journey begins, BEAR would like to give you a few tips... ","Before your journey begins, BEAR has a few wild tips for the road…",
,help.guide.hello.title,,HELLO\n%character_name%,HELLO\n%character_name%,
,help.guide.how_to_scan_cards.content,Second screen of How to guide - explanation how to scan cards,1. go to app cards screen\n2. tap 'scan a card'\n3. point camera at card\n4. fit entire card in guide box\n5. move device closer to focus,1. Head to the Cards screen\n2. Tap Scan a Card\n3. Hold your card steady — like a brave explorer\n4. Fit the whole card inside the guide box\n5. Scoot a little closer to help the camera focus,
,help.guide.how_to_scan_cards.title,,HOW TO SCAN CARDS,HOW TO SCAN CARDS,
,help.guide.next_button,Next step button text,Next Step,Next Step,
,help.guide.photos_access.button,Pop up If camera consent not yet given,Enable Photos,Enable Photos,
,help.privacy_policy.button,Privacy policy title,Privacy Policy,,
